subreach_name,cos_cluster,js_cluster,wb_cluster
OH_LD_CAN_1,3,2,3
GR_LD_GR2_7,1,0,1
GR_LD_GR2_10,1,0,1
OH_LD_MCA_6,1,0,1
OH_LD_JTM_4,3,2,2
OH_LD_JTM_13,2,1,2
OH_LD_OLM_1,3,2,3
GR_LD_GR1_9,0,3,0
GR_LD_GR2_8,1,0,1
OH_LD_NBG_11,3,2,1
OH_LD_NBG_5,3,2,3
OH_LD_OLM_12,0,1,0
OH_LD_JTM_14,1,0,1
OH_LD_SMT_11,2,1,0
OH_LD_MKL_5,3,2,3
OH_LD_OLM_9,2,1,0
GR_LD_GR1_10,0,3,0
OH_LD_MCA_1,3,2,2
GR_LD_GR1_1,1,0,1
OH_LD_NBG_10,1,0,1
OH_LD_JTM_2,1,0,1
OH_LD_OLM_7,2,1,2
OH_LD_SMT_10,2,1,0
OH_LD_CAI_1,3,2,3
OH_LD_OLM_8,2,2,3
GR_LD_GR1_11,0,3,0
GR_LD_GR2_6,1,0,1
GR_LD_GR1_7,0,3,0
OH_LD_MCA_7,1,0,1
OH_LD_JTM_12,2,1,2
OH_LD_JTM_5,3,2,3
OH_LD_NBG_3,1,0,1
GR_LD_GR2_9,1,0,1
GR_LD_GR1_8,2,1,0
OH_LD_OLM_5,3,2,3
OH_LD_SMT_12,2,2,3
OH_LD_OLM_11,0,3,0
OH_LD_SMT_7,0,3,0
OH_LD_NBG_12,3,2,1
OH_LD_NBG_6,1,2,3
OH_LD_SMT_8,2,1,0
GR_LD_GR1_2,1,0,1
OH_LD_NBG_9,3,2,3
GR_LD_GR2_3,1,0,1
OH_LD_CAI_3,2,1,2
OH_LD_MCA_2,3,2,2
OH_LD_CAI_4,0,1,2
OH_LD_JTM_8,2,3,0
GR_LD_GR2_4,1,0,1
GR_LD_GR1_5,1,0,1
OH_LD_NBG_1,3,2,3
OH_LD_SMT_15,2,1,2
OH_LD_OLM_2,2,2,2
OH_LD_JTM_10,1,0,1
OH_LD_MKL_1,1,2,1
OH_LD_JTM_7,3,0,1
OH_LD_JTM_9,1,0,1
GR_LD_GR1_4,1,0,1
GR_LD_GR2_5,1,0,1
OH_LD_SMT_1,3,2,3
OH_LD_JTM_6,2,1,0
OH_LD_SMT_14,2,1,2
OH_LD_JTM_11,2,1,0
OH_LD_OLM_3,2,1,2
OH_LD_SMT_13,2,1,0
OH_LD_JTM_1,3,2,2
OH_LD_NBG_7,3,2,3
OH_LD_OLM_10,3,2,3
OH_LD_NBG_8,3,2,3
GR_LD_GR2_2,1,0,1
OH_LD_SMT_9,0,3,0
GR_LD_GR1_3,1,0,1
GR_LD_GR1_12,0,3,0
OH_LD_CAI_2,3,2,3